Christan	christan@ggc.edu	21	12	A	B	B	03/22/2016	07:42:47pm	157.166.173.5
Cheeb	cheeb@ggc.edu	21	12	A	B	B	03/22/2017	09:24:07pm	157.166.173.5
Rafael	rafael@ggc.edu	52	16	A	A	A	03/22/2017	09:24:35pm	157.166.173.5
Shulk	shulk@ggc.edu	18	0	A	C	C	03/22/2017	09:25:11pm	157.166.173.5
Melia	melia@ggc.edu	88	0	B	D	D	03/22/2017	09:25:44pm	157.166.173.5
Rachel	rachel@turner.com	32	15	B	E	E	03/22/2017	09:26:04pm	157.166.173.5
Zach	zach@ggc.edu	20	2	C	A	E	03/22/2017	09:27:01pm	157.166.173.5
Meatwad	meatwad@turner.com	40	8	C	A	A	03/22/2017	09:27:31pm	157.166.173.5
Mike	mike@ggc.edu	37	2	A	D	E	03/22/2017	09:32:39pm	157.166.173.5
Karen	karen@ggc.edu	16	9	B	B	A	03/22/2017	09:34:41pm	157.166.173.5
Kosh	kosh@ggc.edu	31	4	B	C	B	03/22/2017	09:39:55pm	157.166.173.5
Choco	choco@ggc.edu	62	9	C	D	C	03/22/2017	09:42:07pm	157.166.173.5
Chalky	chalky@ggc.edu	45	20	B	A	C	03/22/2017	10:31:04pm	157.166.173.5
Charmaine	charmaine@ggc.edu	19	2	B	C	A	03/22/2017	10:35:23pm	157.166.173.5
Doggy	doggy@ggc.edu	4	0	A	A	A	03/22/2017	10:32:23pm	157.166.173.5
School	school@ggc.edu	11	11	C	E	E	03/22/2017	10:33:25pm	157.166.173.5
Java	java@ggc.edu	0	0	C	A	A	03/22/2017	10:33:59pm	157.166.173.5
Dude	asdf@gmail.com						03/24/2017	04:24:19am	73.207.104.73
abcdefghijklm	bbb@abc.com	4	6	C	B	E	03/24/2017	05:55:00pm	24.125.138.5
Dude	bbb@abc.com	4	6	C	E	E	03/24/2017	05:56:08pm	24.125.138.5
Sandwich	sandwich@ggc.edu	1	2	A	A	A	03/28/2017	04:28:38pm	168.28.22.32
